condition,partofspeech,object,rt,selobj_same,fixation_same
NP_new,NP,new,1926.166667,0,0
NP_new,NP,new,2503.74631,0,0.15975
NP_new,NP,new,1881.5,0,0.052833333
NP_new,NP,new,1908,0,0.106916667
NP_new,NP,new,1991.666667,0,0.004166667
NP_new,NP,new,1985.693214,0,0.014583333
NP_new,NP,new,1933.666667,0,0.000666667
NP_new,NP,new,2162.526548,0,0.24525
NP_new,NP,new,2353.553095,0,0.166666667
NP_new,NP,new,1665.666667,0,0.0125
NP_new,NP,new,1933.666667,0,0.036166667
NP_same,NP,same,1839.833333,1,0.797166667
NP_same,NP,same,2251.063714,0.833333333,0.4116
NP_same,NP,same,2087.166667,1,0.579916667
NP_same,NP,same,1890.333333,1,0.22775
NP_same,NP,same,1768.333333,1,0.34725
NP_same,NP,same,2026.5,1,0.352083333
NP_same,NP,same,2021.666667,1,0.420333333
NP_same,NP,same,1947.5,1,0.364583333
NP_same,NP,same,2130.666667,1,0.483333333
NP_same,NP,same,1920.5,1,0.245083333
NP_same,NP,same,1934.166667,1,0.500666667
pronoun_new,pronoun,new,1377,1,0.75275
pronoun_new,pronoun,new,1792.833333,1,0.651333333
pronoun_new,pronoun,new,1353.5,1,0.468666667
pronoun_new,pronoun,new,1342.166667,1,0.275666667
pronoun_new,pronoun,new,1547.5,1,0.275583333
pronoun_new,pronoun,new,1282,1,0.05625
pronoun_new,pronoun,new,1460.5,1,0.620833333
pronoun_new,pronoun,new,1484.166667,1,0.152166667
pronoun_new,pronoun,new,1646.833333,1,0.338833333
pronoun_new,pronoun,new,1121.5,1,0.120083333
pronoun_new,pronoun,new,1462,1,0.408333333
pronoun_same,pronoun,same,1280,1,0.85075
pronoun_same,pronoun,same,2030.359881,0.833333333,0.154083333
pronoun_same,pronoun,same,1409,1,0.4285
pronoun_same,pronoun,same,1529.026548,1,0.332666667
pronoun_same,pronoun,same,1496.833333,1,0.27225
pronoun_same,pronoun,same,1206.896432,1,0.2125
pronoun_same,pronoun,same,1432.5,1,0.4805
pronoun_same,pronoun,same,1301.333333,1,0.4305
pronoun_same,pronoun,same,1862.666667,1,0.331166667
pronoun_same,pronoun,same,1339.166667,1,0.22425
pronoun_same,pronoun,same,1447.333333,1,0.393166667